productid,productname,cluster
1,Wireless Mouse,1.0
2,Keyboard,1.0
3,Monitor,0.0
4,USB Cable,0.0
5,Laptop Stand,1.0
6,Webcam,2.0
7,Headset,2.0
8,External HDD,0.0
9,Portable SSD,1.0
10,Printer,1.0
11,Gaming Mouse,1.0
12,Mechanical Keyboard,0.0
13,4K Monitor,0.0
14,HDMI Cable,1.0
15,Cooling Pad,2.0
16,Conference Webcam,0.0
17,Bluetooth Headset,0.0
18,NAS Storage,3.0
19,Flash Drive,1.0
20,Inkjet Printer,1.0
21,Gaming Headset,
22,Ergonomic Chair,
23,Desk Lamp,
24,Smartphone Stand,
25,Surge Protector,
